iter	Accuracy	MultiClass
0	0.6737931034	0.9378479565
1	0.7227586207	0.8171921007
2	0.7268965517	0.7571557066
3	0.7248275862	0.6994578422
4	0.7317241379	0.6586537652
5	0.7489655172	0.6346303255
6	0.7406896552	0.6200900057
7	0.7496551724	0.6015358144
8	0.7510344828	0.588542027
9	0.7565517241	0.579703967
10	0.7572413793	0.5738677247
11	0.7682758621	0.5627327805
12	0.78	0.5552692166
13	0.7855172414	0.5495462126
14	0.784137931	0.5421086044
15	0.7848275862	0.5350773654
16	0.7848275862	0.5267226721
17	0.7793103448	0.516995812
18	0.7868965517	0.5111532786
19	0.7875862069	0.5087264829
20	0.7917241379	0.5035278741
21	0.7931034483	0.4996134787
22	0.7937931034	0.4970138599
23	0.795862069	0.4946532295
24	0.795862069	0.4902567889
25	0.7944827586	0.4884755763
26	0.8	0.4839739153
27	0.8013793103	0.4807694851
28	0.8034482759	0.4760978319
29	0.8034482759	0.4733626057
30	0.804137931	0.470752135
31	0.8075862069	0.4674773359
32	0.8082758621	0.4654720912
33	0.8172413793	0.4621004701
34	0.815862069	0.4611410062
35	0.8144827586	0.4590908598
36	0.8213793103	0.4566344649
37	0.824137931	0.4531187712
38	0.8193103448	0.450669616
39	0.8193103448	0.4479911376
40	0.8220689655	0.4472628744
41	0.8234482759	0.4456398193
42	0.8262068966	0.443069885
43	0.8296551724	0.4398737989
44	0.8268965517	0.437771023
45	0.8275862069	0.4351402876
46	0.8310344828	0.4330755252
47	0.8317241379	0.4303602239
48	0.8372413793	0.4276891844
49	0.8386206897	0.4256453752
50	0.8420689655	0.4199964369
51	0.8427586207	0.4184930939
52	0.8462068966	0.4151004861
53	0.8496551724	0.4139131396
54	0.8475862069	0.4122792208
55	0.8489655172	0.4087427074
56	0.8496551724	0.4068611614
57	0.8496551724	0.4062301291
58	0.8510344828	0.4021690096
59	0.8517241379	0.4011896621
60	0.8489655172	0.4002487556
61	0.8496551724	0.3994669855
62	0.8489655172	0.3987785587
63	0.8544827586	0.39693318
64	0.8551724138	0.3940234881
65	0.8551724138	0.3939407253
66	0.8579310345	0.3923918034
67	0.8586206897	0.3900453563
68	0.8579310345	0.3882058528
69	0.864137931	0.3845058944
70	0.8662068966	0.3826370241
71	0.8634482759	0.3812397428
72	0.8620689655	0.380604452
73	0.8648275862	0.3784314168
74	0.8634482759	0.376735725
75	0.864137931	0.37652801
76	0.8620689655	0.3749890328
77	0.8606896552	0.3743984124
78	0.8620689655	0.3727543826
79	0.864137931	0.3703101684
80	0.8675862069	0.3689012705
81	0.8675862069	0.3683220117
82	0.8696551724	0.3632197154
83	0.8703448276	0.3615707235
84	0.8724137931	0.357812999
85	0.8717241379	0.3566078826
86	0.8737931034	0.354915717
87	0.8731034483	0.3543873857
88	0.8724137931	0.3532196531
89	0.8793103448	0.350908067
90	0.88	0.3499980772
91	0.8813793103	0.3496545415
92	0.8820689655	0.3489229093
93	0.8806896552	0.3482642816
94	0.8813793103	0.3471290512
95	0.8827586207	0.3439483288
96	0.8855172414	0.3423424063
97	0.8827586207	0.3404779642
98	0.884137931	0.3387551954
99	0.8862068966	0.3370761103
