iter	Accuracy	MultiClass
0	0.6875862069	0.9280677425
1	0.6889655172	0.8362807745
2	0.7296551724	0.7535520531
3	0.7268965517	0.7047867586
4	0.7296551724	0.6711533611
5	0.7351724138	0.6388592337
6	0.7586206897	0.6097042043
7	0.7668965517	0.5888230896
8	0.7648275862	0.5735473471
9	0.7696551724	0.5610628559
10	0.7717241379	0.5477471201
11	0.7793103448	0.5361541396
12	0.7862068966	0.5283155639
13	0.7868965517	0.5228728988
14	0.7931034483	0.5179944659
15	0.795862069	0.508144801
16	0.8	0.4994050278
17	0.8020689655	0.4946099466
18	0.8020689655	0.490223989
19	0.8027586207	0.4854689888
20	0.8137931034	0.4783352014
21	0.8186206897	0.4713398814
22	0.8179310345	0.467248217
23	0.8275862069	0.4598948478
24	0.8262068966	0.456028538
25	0.8331034483	0.4500537055
26	0.8317241379	0.4458917183
27	0.8303448276	0.4440451428
28	0.8337931034	0.4415570744
29	0.8344827586	0.4400121112
30	0.8365517241	0.437038009
31	0.8393103448	0.4330589417
32	0.8379310345	0.4311674064
33	0.84	0.4261519409
34	0.8420689655	0.4240972343
35	0.8406896552	0.4222162084
36	0.8406896552	0.42031717
37	0.8406896552	0.4178028382
38	0.8420689655	0.4150248562
39	0.8420689655	0.4125478296
40	0.8468965517	0.4088943042
41	0.8489655172	0.4070329163
42	0.8510344828	0.4047625931
43	0.8531034483	0.4016982223
44	0.8537931034	0.400247663
45	0.8537931034	0.3968518264
46	0.855862069	0.3954997137
47	0.8593103448	0.3924473837
48	0.8606896552	0.3892821451
49	0.8627586207	0.387428334
50	0.8620689655	0.3854711816
51	0.8620689655	0.3843692333
52	0.8613793103	0.3833396485
53	0.8634482759	0.3815172821
54	0.864137931	0.3797975812
55	0.8648275862	0.3774027713
56	0.8682758621	0.3757105524
57	0.8689655172	0.3742733611
58	0.8731034483	0.3716439416
59	0.875862069	0.3704262348
60	0.875862069	0.3698539257
61	0.875862069	0.369153301
62	0.8731034483	0.3668664353
63	0.8731034483	0.3667159614
64	0.8731034483	0.3646859031
65	0.8744827586	0.3636749154
66	0.8765517241	0.3617615416
67	0.8772413793	0.3601062393
68	0.8779310345	0.3585528064
69	0.8786206897	0.356607717
70	0.8793103448	0.3559440437
71	0.8793103448	0.3545864982
72	0.8786206897	0.3514570533
73	0.8813793103	0.3487978121
74	0.8806896552	0.3478627561
75	0.8806896552	0.3471532345
76	0.8813793103	0.3459240186
77	0.88	0.3444258457
78	0.8793103448	0.3429895482
79	0.8820689655	0.3396924898
80	0.8834482759	0.3380294945
81	0.8834482759	0.3365597668
82	0.8848275862	0.3349204666
83	0.8875862069	0.3326779993
84	0.8862068966	0.3321751903
85	0.8889655172	0.3300536036
86	0.8882758621	0.3290342831
87	0.8882758621	0.3277682062
88	0.8903448276	0.3270052447
89	0.8875862069	0.3258299525
90	0.8896551724	0.3237505825
91	0.8903448276	0.3231494497
92	0.8896551724	0.320452971
93	0.8889655172	0.3183452501
94	0.8903448276	0.3175940296
95	0.8903448276	0.3169894329
96	0.8924137931	0.3156052684
97	0.8910344828	0.3148937549
98	0.8917241379	0.3142911154
99	0.8924137931	0.3138211638
