iter	Accuracy	MultiClass
0	0.6728778468	0.9326280926
1	0.7025534852	0.8352815248
2	0.7273982057	0.7749466723
3	0.7260179434	0.7172332469
4	0.7418909593	0.6789153875
5	0.7412008282	0.6477430155
6	0.7481021394	0.6258130081
7	0.7439613527	0.6132355753
8	0.7453416149	0.6004983743
9	0.7529330573	0.5889494509
10	0.7612146308	0.5734233134
11	0.7605244997	0.5647543893
12	0.7688060732	0.5531903952
13	0.7688060732	0.5478142114
14	0.7798481712	0.5366237577
15	0.7777777778	0.5318556023
16	0.7826086957	0.5283037889
17	0.7874396135	0.5245020969
18	0.7977915804	0.5156541849
19	0.7998619738	0.5114337763
20	0.8019323671	0.5069881588
21	0.8040027605	0.505278055
22	0.8040027605	0.5010163865
23	0.8046928916	0.4969523001
24	0.8053830228	0.494723408
25	0.8088336784	0.4878853265
26	0.8053830228	0.485385733
27	0.806763285	0.4826849814
28	0.8095238095	0.479423499
29	0.8109040718	0.4747468224
30	0.8109040718	0.470563152
31	0.8150448585	0.4657441162
32	0.8157349896	0.4593744224
33	0.812284334	0.4578805177
34	0.8115942029	0.4561505229
35	0.8129744651	0.4525748074
36	0.8171152519	0.4500875732
37	0.8191856453	0.4448571126
38	0.8191856453	0.4427945999
39	0.8205659075	0.4400106588
40	0.8240165631	0.4378362418
41	0.8274672188	0.435435322
42	0.828847481	0.4339691531
43	0.8295376121	0.4325285493
44	0.8302277433	0.4310542722
45	0.8309178744	0.4282511952
46	0.8350586611	0.4223165672
47	0.8371290545	0.4213799062
48	0.8378191856	0.4203258736
49	0.8378191856	0.4180560504
50	0.8405797101	0.4131368406
51	0.8419599724	0.4112392641
52	0.839889579	0.4086499869
53	0.8419599724	0.4064380202
54	0.8405797101	0.4051375823
55	0.8440303658	0.4026291223
56	0.8447204969	0.4000509548
57	0.8447204969	0.3995372589
58	0.8467908903	0.397090831
59	0.8467908903	0.3952218851
60	0.8488612836	0.3939020398
61	0.8502415459	0.3926275577
62	0.8502415459	0.3917453911
63	0.8474810214	0.3907518075
64	0.8488612836	0.3899728696
65	0.8488612836	0.3864190592
66	0.8502415459	0.3849522085
67	0.8516218081	0.3839828218
68	0.850931677	0.383507149
69	0.850931677	0.3828678392
70	0.8536922015	0.3812778517
71	0.8550724638	0.3788779696
72	0.8550724638	0.3769542311
73	0.8599033816	0.3738976462
74	0.8605935128	0.3731165085
75	0.8605935128	0.3725628847
76	0.8626639061	0.371865443
77	0.8640441684	0.3687989942
78	0.8654244306	0.3661882793
79	0.867494824	0.3639679921
80	0.867494824	0.3617941265
81	0.8681849551	0.3607994195
82	0.8668046929	0.3593255745
83	0.8688750863	0.3580876936
84	0.8695652174	0.3571741092
85	0.8688750863	0.3557008556
86	0.8723257419	0.3545237177
87	0.8709454796	0.3535737112
88	0.8709454796	0.3514970837
89	0.8764665286	0.3490598552
90	0.8778467909	0.3465498642
91	0.8778467909	0.3459821576
92	0.878536922	0.3452597391
93	0.8792270531	0.3437156079
94	0.8792270531	0.3421760563
95	0.8792270531	0.3412048246
96	0.8799171843	0.3394164171
97	0.8812974465	0.3381046819
98	0.8812974465	0.3359768044
99	0.8806073154	0.3351044973
