iter	Accuracy	MultiClass
187	0.7796296296	0.5477265157
188	0.7797558923	0.5474287231
189	0.7798190236	0.5472834271
190	0.779776936	0.547010638
191	0.7797138047	0.5468007611
192	0.7796296296	0.5466338117
193	0.7797979798	0.5464591743
194	0.7798400673	0.5463021614
195	0.7802609428	0.546084585
196	0.7800925926	0.5459099372
197	0.780239899	0.5456633374
198	0.7803872054	0.5454159286
199	0.7806818182	0.5453018187
200	0.7807659933	0.54504412
201	0.7807659933	0.5448245347
202	0.7807239057	0.5446129157
203	0.7807239057	0.5444668661
204	0.7810185185	0.5442253775
205	0.7810395623	0.5441330034
206	0.7810395623	0.5440669999
207	0.78125	0.5438488574
208	0.7812079125	0.5436179556
209	0.7813762626	0.5433757083
210	0.781523569	0.5432241045
211	0.7815867003	0.5430788039
212	0.7816077441	0.5429133095
213	0.7819444444	0.5426534087
214	0.7820707071	0.5424601604
215	0.7820496633	0.5422697216
216	0.7819023569	0.5420388983
217	0.7822180135	0.5417104251
218	0.7823021886	0.5415469436
219	0.7823232323	0.5414203929
220	0.7823863636	0.5413154194
221	0.7825968013	0.5411180853
222	0.7827651515	0.5408943692
223	0.7828072391	0.5407087118
224	0.7828282828	0.5406156952
225	0.7828072391	0.5405814633
226	0.7828914141	0.5405537462
227	0.7827861953	0.540400042
228	0.7828282828	0.5402873537
229	0.782723064	0.5401263188
230	0.7828493266	0.5399456323
231	0.7829545455	0.539661947
232	0.7830387205	0.5394258881
233	0.7831860269	0.5391848725
234	0.7831860269	0.5391276873
235	0.7833122896	0.5389650208
236	0.7833543771	0.5388279245
237	0.7833964646	0.538711957
238	0.7834385522	0.5384891679
239	0.7833333333	0.5383147174
240	0.7834385522	0.5380067138
241	0.7836910774	0.5377810612
242	0.7836489899	0.5376793722
243	0.7837121212	0.5376406568
244	0.7836700337	0.5374863857
245	0.7837121212	0.5374227088
246	0.7837542088	0.537186793
247	0.7839225589	0.5369899064
248	0.7839856902	0.5368437456
249	0.7841961279	0.5366246558
250	0.7840277778	0.53644431
251	0.7843013468	0.5363082508
252	0.7843644781	0.5360088231
253	0.7844907407	0.5358861243
254	0.7844907407	0.5356805284
255	0.7844065657	0.5355004702
256	0.7845117845	0.5354179547
257	0.7846170034	0.5351536793
258	0.784743266	0.5350298023
259	0.7847643098	0.5348484445
260	0.784743266	0.5346969617
261	0.7848484848	0.5345974926
262	0.7848695286	0.5344190416
263	0.7850799663	0.5343387855
264	0.7851010101	0.534265489
265	0.7853956229	0.5340593371
266	0.7854377104	0.5339374665
267	0.7854377104	0.5336603438
268	0.7853324916	0.5334787601
269	0.7853324916	0.5333477326
270	0.7854166667	0.5332119392
271	0.785479798	0.5331461503
272	0.7855429293	0.5330726793
273	0.7858585859	0.5328551847
274	0.7857112795	0.5326465983
275	0.7858585859	0.5324165418
276	0.785753367	0.5323298644
277	0.7857954545	0.5322654675
278	0.7859848485	0.5321453159
279	0.7860690236	0.5319654895
280	0.7860058923	0.5318825072
281	0.7860058923	0.5317516921
282	0.7859638047	0.5315805596
283	0.7860058923	0.5314559261
284	0.786026936	0.5313408248
285	0.7860479798	0.5312029468
286	0.7860690236	0.5311009122
287	0.7860900673	0.5309317863
288	0.7861742424	0.5308177014
289	0.78621633	0.5306377268
290	0.786489899	0.5304566727
291	0.7866161616	0.5303242486
292	0.7867003367	0.5301182692
293	0.7866582492	0.5299785063
294	0.7869739057	0.5298725917
295	0.7868897306	0.5297503623
296	0.7869739057	0.5296610144
297	0.7871422559	0.5295274996
298	0.7871001684	0.52934983
299	0.7871843434	0.5290973605
300	0.7872895623	0.5289534899
301	0.7873106061	0.5287780791
302	0.7873737374	0.5286950496
303	0.7872474747	0.5286149307
304	0.7872474747	0.5285665763
305	0.7872685185	0.5284793277
306	0.7873106061	0.5283675382
307	0.7874579125	0.5282283183
308	0.7875	0.5281715252
309	0.7875420875	0.5280598483
310	0.7874579125	0.5279747482
311	0.7876052189	0.5278842145
312	0.7877314815	0.5277808902
313	0.7876893939	0.5277467032
314	0.787962963	0.5276431128
315	0.7878787879	0.5276162776
316	0.7878998316	0.5275302704
317	0.7878787879	0.5273961898
318	0.7878998316	0.5272450257
319	0.7881102694	0.5270025729
320	0.7881102694	0.5269468917
321	0.7880681818	0.5268420011
322	0.7881102694	0.5267731732
323	0.7882786195	0.5266844748
324	0.7882154882	0.5266016788
325	0.7882154882	0.5265319904
326	0.7883627946	0.5264208714
327	0.7884469697	0.5262957881
328	0.7884680135	0.5262111267
329	0.7885732323	0.5261478954
330	0.7885942761	0.5259566033
331	0.7886784512	0.5258740901
332	0.7886784512	0.5258098711
333	0.7887626263	0.525691354
334	0.7887415825	0.5255181533
335	0.7886363636	0.5254384586
336	0.7887415825	0.5252794187
337	0.7889099327	0.5251851579
338	0.7888888889	0.52514116
339	0.788973064	0.5250740229
340	0.7889520202	0.5249652392
341	0.7890151515	0.5248750702
342	0.7890782828	0.5248384235
343	0.7890572391	0.5247690454
344	0.7891203704	0.5245745721
345	0.7891414141	0.5245407471
346	0.7892255892	0.5243584593
347	0.7892887205	0.5242401275
348	0.7893728956	0.5241225918
349	0.7893518519	0.5240657895
350	0.7894570707	0.5239506791
351	0.7894570707	0.5238676318
352	0.7894991582	0.5237871742
353	0.789709596	0.5235886638
354	0.789793771	0.5235124109
355	0.7897727273	0.5233913105
356	0.7897516835	0.5233145743
357	0.7897727273	0.5231858732
358	0.789793771	0.5231409948
359	0.7897727273	0.5230894417
360	0.7898569024	0.5229867389
361	0.7898569024	0.5229446583
362	0.789983165	0.5228464658
363	0.789983165	0.5227785933
364	0.7901304714	0.5226732908
365	0.7902146465	0.5225999673
366	0.7902988215	0.5225552584
367	0.7902777778	0.5224473576
