iter	Passed	Remaining
399	80319	321276
400	80533	321130
401	80746	320975
402	80970	320870
403	81179	320700
404	81454	320790
405	81661	320610
406	81859	320398
407	82043	320130
408	82285	320087
409	82520	320020
410	82741	319891
411	82930	319643
412	83125	319418
413	83353	319320
414	83555	319120
415	83759	318930
416	83984	318818
417	84204	318686
418	84400	318464
419	84613	318309
420	84840	318203
421	85022	317928
422	85217	317703
423	85417	317495
424	85630	317335
425	85813	317066
426	86024	316902
427	86238	316744
428	86455	316600
429	86625	316284
430	86833	316105
431	87033	315899
432	87249	315751
433	87471	315621
434	87693	315494
435	87909	315343
436	88121	315179
437	88340	315042
438	88546	314855
439	88766	314716
440	89004	314643
441	89262	314640
442	89481	314498
443	89689	314318
444	89914	314194
445	90124	314019
446	90339	313864
447	90535	313641
448	90735	313430
449	90952	313280
450	91161	313100
451	91378	312949
452	91586	312767
453	91806	312626
454	92021	312468
455	92247	312346
456	92462	312185
457	92661	311975
458	92909	311924
459	93110	311718
460	93337	311596
461	93556	311448
462	93776	311305
463	94027	311263
464	94259	311156
465	94481	311018
466	94720	310933
467	94960	310853
468	95146	310597
469	95317	310288
470	95497	310012
471	95675	309728
472	95859	309466
473	96036	309180
474	96228	308945
475	96421	308711
476	96633	308539
477	96884	308488
478	97074	308248
479	97268	308016
480	97515	307952
481	97744	307834
482	97981	307740
483	98234	307691
484	98483	307632
485	98698	307468
486	98919	307320
487	99161	307237
488	99402	307150
489	99610	306963
490	99820	306781
491	100042	306635
492	100339	306718
493	100730	307084
494	101021	307146
495	101319	307228
496	101761	307742
497	102016	307688
498	102245	307555
499	102612	307836
500	103188	308742
501	103741	309570
502	104218	310170
503	104456	310054
504	104678	309891
505	104896	309713
506	105141	309617
507	105386	309519
508	105615	309376
509	105857	309271
510	106064	309061
511	106305	308951
512	106536	308811
513	106775	308692
514	107055	308693
515	107280	308534
516	107483	308313
517	107697	308121
518	107925	307973
519	108217	308003
520	108519	308063
521	108862	308236
522	109048	307963
523	109298	307870
524	109527	307719
525	109781	307639
526	109988	307425
527	110231	307310
528	110513	307307
529	110823	307379
530	111058	307239
531	111367	307307
532	111725	307508
533	112055	307627
534	112352	307657
535	112631	307634
536	113013	307893
537	113348	308022
538	113652	308062
539	114014	308262
540	114551	308930
541	115296	310152
542	115815	310760
543	116317	311320
544	116645	311412
545	116915	311345
546	117118	311102
547	117388	311036
548	117617	310862
549	117836	310660
550	118105	310588
551	118341	310432
552	118598	310328
553	118864	310248
554	119137	310186
555	119407	310116
556	119660	309999
557	119890	309824
558	120220	309905
559	120491	309835
560	120698	309598
561	120922	309405
562	121161	309253
563	121398	309091
564	121646	308961
565	121946	308960
566	122198	308836
567	122423	308645
568	122651	308461
569	122904	308338
570	123150	308199
571	123454	308204
572	123699	308061
573	124150	308428
574	124429	308367
575	124692	308267
576	125007	308292
577	125335	308352
578	125674	308433
579	126000	308482
580	126414	308746
581	126827	309006
582	127435	309735
583	128005	310370
584	128391	310552
585	128855	310924
586	129164	310919
587	129500	310977
588	129839	311041
589	130150	311038
590	130400	310887
591	130603	310625
592	130858	310485
593	131107	310332
594	131369	310208
595	131612	310039
596	131922	310029
597	132211	309967
598	132488	309877
599	132780	309820
600	133107	309846
601	133468	309949
602	133814	310014
603	134163	310086
