iter	Accuracy	MultiClass
0	0.6889655172	0.9259262446
1	0.6889655172	0.836060282
2	0.7296551724	0.7529234153
3	0.7310344828	0.6993854036
4	0.7344827586	0.6614042617
5	0.7303448276	0.6372049929
6	0.7379310345	0.6152264767
7	0.7551724138	0.5984787074
8	0.7565517241	0.580856768
9	0.7620689655	0.5734663508
10	0.7793103448	0.5598228787
11	0.7848275862	0.5515732674
12	0.7834482759	0.5476922247
13	0.784137931	0.545401643
14	0.7882758621	0.5384327612
15	0.7848275862	0.5288416691
16	0.7972413793	0.5250604212
17	0.8	0.5212473469
18	0.795862069	0.5183028966
19	0.8034482759	0.5109420536
20	0.8055172414	0.5003169363
21	0.8089655172	0.4959129532
22	0.8068965517	0.4903564562
23	0.8082758621	0.4887400745
24	0.8110344828	0.484092023
25	0.8075862069	0.4777689913
26	0.8117241379	0.4760015721
27	0.8131034483	0.4713506421
28	0.8165517241	0.4692976412
29	0.8186206897	0.4640759698
30	0.82	0.462206671
31	0.82	0.4604980293
32	0.8213793103	0.4583499727
33	0.824137931	0.455232216
34	0.8317241379	0.4459728805
35	0.8379310345	0.4404318817
36	0.8365517241	0.4396000608
37	0.835862069	0.4346335877
38	0.84	0.4321488028
39	0.8427586207	0.4304854535
40	0.8420689655	0.429465654
41	0.8427586207	0.4265760405
42	0.8448275862	0.4253859871
43	0.8462068966	0.4216767009
44	0.8462068966	0.4178199869
45	0.8462068966	0.4158273646
46	0.8482758621	0.4139956434
47	0.8482758621	0.413424107
48	0.8489655172	0.4120027281
49	0.8482758621	0.4099002539
50	0.8517241379	0.4070540705
51	0.8489655172	0.4054988546
52	0.8510344828	0.4039104043
53	0.8517241379	0.4030466751
54	0.8524137931	0.4011637638
55	0.8544827586	0.4006275559
56	0.8517241379	0.3973083661
57	0.8517241379	0.3966827104
58	0.8544827586	0.3943518283
59	0.8524137931	0.3929750295
60	0.8524137931	0.3908803473
61	0.8537931034	0.3893089003
62	0.8531034483	0.3879660071
63	0.855862069	0.3858986232
64	0.8565517241	0.3832587934
65	0.8565517241	0.3821003369
66	0.8565517241	0.3798597737
67	0.8579310345	0.3776615698
68	0.8586206897	0.3764745509
69	0.8586206897	0.3752076991
70	0.8586206897	0.3746896625
71	0.8586206897	0.3734270294
72	0.8586206897	0.3730014744
73	0.8620689655	0.3705091484
74	0.8606896552	0.3677927686
75	0.8606896552	0.367033867
76	0.8627586207	0.3654728567
77	0.8648275862	0.3625740347
78	0.8648275862	0.3621712354
79	0.8662068966	0.3611353311
80	0.8662068966	0.3585079777
81	0.8662068966	0.356919725
82	0.8662068966	0.3560269091
83	0.8675862069	0.3544705248
84	0.8668965517	0.3538799134
85	0.8682758621	0.3522789077
86	0.8696551724	0.3508528161
87	0.8717241379	0.3458587722
88	0.8710344828	0.3439987602
89	0.8737931034	0.3421412372
90	0.8744827586	0.3403359288
91	0.8744827586	0.3397888327
92	0.8751724138	0.3393444131
93	0.8813793103	0.3378833307
94	0.88	0.3362969877
95	0.8813793103	0.335255316
96	0.8820689655	0.3346888222
97	0.8820689655	0.3326315298
98	0.8820689655	0.3314051851
99	0.8813793103	0.3298383063
